Paper_name,Paper_link,Paper_type,volume,issue,pub_date,Paper_ID,1,2,3,4,5,6,7
Resolving the long-standing enigmas of a giant ornithomimosaur  Deinocheirus mirificus,/nature/journal/v515/n7526/full/nature13874.html,letter,515,7526,13 November 2014,13874.html,Palaeontology,,,,,,
Comparative population genomics in animals uncovers the determinants of genetic diversity,/nature/journal/v515/n7526/full/nature13685.html,letter,515,7526,13 November 2014,13685.html,Molecular evolution,Phylogenetics,Genetic variation,Genome evolution,,,
Radial glia require PDGFD PDGFR\u03b2 signalling in human but not mouse neocortex,/nature/journal/v515/n7526/full/nature13973.html,letter,515,7526,13 November 2014,13973.html,Neural progenitors,,,,,,
The participation of cortical amygdala in innate odour-driven behaviour,/nature/journal/v515/n7526/full/nature13897.html,letter,515,7526,13 November 2014,13897.html,Olfactory cortex,,,,,,
A three-dimensional human neural cell culture model of Alzheimers disease,/nature/journal/v515/n7526/full/nature13800.html,letter,515,7526,13 November 2014,13800.html,Alzheimer's disease,,,,,,
Piezo1 integration of vascular architecture with physiological force,/nature/journal/v515/n7526/full/nature13701.html,letter,515,7526,13 November 2014,13701.html,Angiogenesis,,,,,,
The complete structure of the large subunit of the mammalian mitochondrial ribosome,/nature/journal/v515/n7526/full/nature13895.html,letter,515,7526,13 November 2014,13895.html,RNA,Ribosome,Cryoelectron microscopy,Mass spectrometry,,,
Structural basis for the assembly of the Sxl Unr translation regulatory complex,/nature/journal/v515/n7526/full/nature13693.html,letter,515,7526,13 November 2014,13693.html,X-ray crystallography,RNA-binding proteins,Translation,Developmental biology,,,
Synaptic transcriptional and chromatin genes disrupted in autism,/nature/journal/v515/n7526/full/nature13772.html,article,515,7526,13 November 2014,13772.html,DNA sequencing,Next-generation sequencing,Autism spectrum disorders,Gene regulation,Chromatin remodelling,,
The contribution of  de novo u coding mutations to autism spectrum disorder,/nature/journal/v515/n7526/full/nature13908.html,article,515,7526,13 November 2014,13908.html,Medical genomics,Neurodevelopmental disorders,Genome informatics,Autism spectrum disorders,,,
Evolution of mosquito preference for humans linked to an odorant receptor,/nature/journal/v515/n7526/full/nature13964.html,article,515,7526,13 November 2014,13964.html,Evolutionary genetics,Olfactory receptors,,,,,
Clathrin regenerates synaptic vesicles from endosomes,/nature/journal/v515/n7526/full/nature13846.html,article,515,7526,13 November 2014,13846.html,Synaptic vesicle endocytosis,Vesicle trafficking,Endosomes,Endocytosis,,,
Turbulent heating in galaxy clusters brightest in X-rays,/nature/journal/v515/n7525/full/nature13830.html,letter,515,7525,6 November 2014,13830.html,High-energy astrophysics,,,,,,
Suppression of cooling by strong magnetic fields in white dwarf stars,/nature/journal/v515/n7525/full/nature13836.html,letter,515,7525,6 November 2014,13836.html,Stars,Stars,,,,,
High-efficiency acceleration of an electron beam in a plasma wakefield accelerator,/nature/journal/v515/n7525/full/nature13882.html,letter,515,7525,6 November 2014,13882.html,Plasma-based accelerators,,,,,,
Solution-processed high-performance light-emitting diodes based on quantum dots,/nature/journal/v515/n7525/full/nature13829.html,letter,515,7525,6 November 2014,13829.html,"Lasers, LEDs and light sources",Quantum dots,Photonic devices,Inorganic LEDs,,,
Asymmetric photoredox transition-metal catalysis activated by visible light,/nature/journal/v515/n7525/full/nature13892.html,letter,515,7525,6 November 2014,13892.html,Photocatalysis,Organic chemistry,,,,,
Recent Northern Hemisphere stratospheric HCl increase due to atmospheric circulation changes,/nature/journal/v515/n7525/full/nature13857.html,letter,515,7525,6 November 2014,13857.html,Environmental sciences,,,,,,
Selection for niche differentiation in plant communities increases biodiversity effects,/nature/journal/v515/n7525/full/nature13869.html,letter,515,7525,6 November 2014,13869.html,Biodiversity,,,,,,
Nodal signalling determines biradial asymmetry in  Hydra,/nature/journal/v515/n7525/full/nature13666.html,letter,515,7525,6 November 2014,13666.html,Evolutionary developmental biology,,,,,,
Sensory-evoked LTP driven by dendritic plateau potentials  in vivo,/nature/journal/v515/n7525/full/nature13664.html,letter,515,7525,6 November 2014,13664.html,Long-term potentiation,Barrel cortex,Dendritic excitability,,,,
Luminal signalling links cell communication to tissue architecture during organogenesis,/nature/journal/v515/n7525/full/nature13852.html,letter,515,7525,6 November 2014,13852.html,Organogenesis,Extracellular signalling molecules,,,,,
PLETHORA gradient formation mechanism separates auxin responses,/nature/journal/v515/n7525/full/nature13663.html,letter,515,7525,6 November 2014,13663.html,Tropism,Auxin,Root apical meristem,Computational models,,,
Cessation of CCL2 inhibition accelerates breast cancer metastasis by promoting angiogenesis,/nature/journal/v515/n7525/full/nature13862.html,letter,515,7525,6 November 2014,13862.html,Breast cancer,,,,,,
Tumour-infiltrating Gr-1 + u myeloid cells antagonize senescence in cancer,/nature/journal/v515/n7525/full/nature13638.html,letter,515,7525,6 November 2014,13638.html,Tumour immunology,,,,,,
Broad and potent HIV-1 neutralization by a human antibody that binds the gp41 gp120 interface,/nature/journal/v515/n7525/full/nature13601.html,letter,515,7525,6 November 2014,13601.html,HIV infections,Antibodies,X-ray crystallography,Electron microscopy,,,
Pseudouridine profiling reveals regulated mRNA pseudouridylation in yeast and human cells,/nature/journal/v515/n7525/full/nature13802.html,letter,515,7525,6 November 2014,13802.html,RNA modification,Next-generation sequencing,,,,,
Crystal structure of the RNA-guided immune surveillance Cascade complex in  Escherichia coli,/nature/journal/v515/n7525/full/nature13733.html,letter,515,7525,6 November 2014,13733.html,Bacteriology,RNA,Non-coding RNAs,X-ray crystallography,,,
Life cycles fitness decoupling and the evolution of multicellularity,/nature/journal/v515/n7525/full/nature13884.html,article,515,7525,6 November 2014,13884.html,Experimental evolution,,,,,,
Architecture of mammalian respiratory complex I,/nature/journal/v515/n7525/full/nature13686.html,article,515,7525,6 November 2014,13686.html,Cryoelectron microscopy,,,,,,
Spatially resolved magnetic field structure in the disk of a T Tauri star,/nature/journal/v514/n7524/full/nature13850.html,letter,514,7524,30 October 2014,13850.html,Stars,,,,,,
Possible planet formation in the young low-mass multiple stellar system GG Tau A,/nature/journal/v514/n7524/full/nature13822.html,letter,514,7524,30 October 2014,13822.html,Exoplanets,,,,,,
Quantum tomography of an electron,/nature/journal/v514/n7524/full/nature13821.html,letter,514,7524,30 October 2014,13821.html,Quantum information,,,,,,
Room-temperature magnetic order on zigzag edges of narrow graphene nanoribbons,/nature/journal/v514/n7524/full/nature13831.html,letter,514,7524,30 October 2014,13831.html,Electronic properties and devices,Magnetic properties and materials,Electronic properties and devices,Magnetic properties and materials,,,
Stochastic transport through carbon nanotubes in lipid bilayers and live cell membranes,/nature/journal/v514/n7524/full/nature13817.html,letter,514,7524,30 October 2014,13817.html,Nanoscale biophysics,Nanopores,,,,,
Centennial-scale changes in the global carbon cycle during the last deglaciation,/nature/journal/v514/n7524/full/nature13799.html,letter,514,7524,30 October 2014,13799.html,Palaeoclimate,,,,,,
Calcisponges have a ParaHox gene and dynamic expression of dispersed NK homeobox genes,/nature/journal/v514/n7524/full/nature13881.html,letter,514,7524,30 October 2014,13881.html,Evolutionary biology,Pattern formation,Evolutionary genetics,,,,
Non-equivalent contributions of maternal and paternal genomes to early plant embryogenesis,/nature/journal/v514/n7524/full/nature13620.html,letter,514,7524,30 October 2014,13620.html,Plant embryogenesis,,,,,,
Oncogene ablation-resistant pancreatic cancer cells depend on mitochondrial function,/nature/journal/v514/n7524/full/nature13611.html,letter,514,7524,30 October 2014,13611.html,Cancer stem cells,Cancer metabolism,,,,,
Conditional tolerance of temperate phages via transcription-dependent CRISPR-Cas targeting,/nature/journal/v514/n7524/full/nature13637.html,letter,514,7524,30 October 2014,13637.html,Bacteriology,Bacteriophages,Phage biology,,,,
Rapid fucosylation of intestinal epithelium sustains host commensal symbiosis in sickness,/nature/journal/v514/n7524/full/nature13823.html,letter,514,7524,30 October 2014,13823.html,Innate immunity,,,,,,
Enhanced neonatal Fc receptor function improves protection against primate SHIV infection,/nature/journal/v514/n7524/full/nature13612.html,letter,514,7524,30 October 2014,13612.html,Immunology,,,,,,
Synergistic blockade of mitotic exit by two chemical inhibitors of the APC/C,/nature/journal/v514/n7524/full/nature13660.html,letter,514,7524,30 October 2014,13660.html,Small molecules,Mitosis,Ubiquitin ligases,,,,
Transcriptional interference by antisense RNA is required for circadian clock function,/nature/journal/v514/n7524/full/nature13671.html,letter,514,7524,30 October 2014,13671.html,Gene silencing,Non-coding RNAs,Transcription,,,,
Three new Jurassic euharamiyidan species reinforce early divergence of mammals,/nature/journal/v514/n7524/full/nature13718.html,article,514,7524,30 October 2014,13718.html,Palaeontology,,,,,,
Mesenchymal endothelial transition contributes to cardiac neovascularization,/nature/journal/v514/n7524/full/nature13839.html,article,514,7524,30 October 2014,13839.html,Cardiovascular biology,Cardiovascular diseases,,,,,
Crystal structure of the PRC1 ubiquitylation module bound to the nucleosome,/nature/journal/v514/n7524/full/nature13890.html,article,514,7524,30 October 2014,13890.html,X-ray crystallography,Chromatin structure,Molecular biology,,,,
Two families of exocomets in the \u03b2 Pictoris system,/nature/journal/v514/n7523/full/nature13849.html,letter,514,7523,23 October 2014,13849.html,Exoplanets,,,,,,
Characterizing and predicting the magnetic environment leading to solar eruptions,/nature/journal/v514/n7523/full/nature13815.html,letter,514,7523,23 October 2014,13815.html,Space physics,,,,,,
Piezoelectricity of single-atomic-layer MoS 2 u for energy conversion and piezotronics,/nature/journal/v514/n7523/full/nature13792.html,letter,514,7523,23 October 2014,13792.html,Electronic properties and devices,Electronic devices,,,,,
Identification of an iridium-containing compound with a formal oxidation state of IX,/nature/journal/v514/n7523/full/nature13795.html,letter,514,7523,23 October 2014,13795.html,Inorganic chemistry,,,,,,
Methane dynamics regulated by microbial community response to permafrost thaw,/nature/journal/v514/n7523/full/nature13798.html,letter,514,7523,23 October 2014,13798.html,Biogeochemistry,Stable isotopes,Microbial ecology,Biogeochemistry,,,
Limited impact on decadal-scale climate change from increased use of natural gas,/nature/journal/v514/n7523/full/nature13837.html,letter,514,7523,23 October 2014,13837.html,Climate-change mitigation,,,,,,
Producing more grain with lower environmental costs,/nature/journal/v514/n7523/full/nature13609.html,letter,514,7523,23 October 2014,13609.html,Agri-ecology,,,,,,
A  Hox u regulatory network of hindbrain segmentation is conserved to the base of vertebrates,/nature/journal/v514/n7523/full/nature13723.html,letter,514,7523,23 October 2014,13723.html,Ectoderm,Evolutionary developmental biology,,,,,
Pre-Columbian mycobacterial genomes reveal seals as a source of New World human tuberculosis,/nature/journal/v514/n7523/full/nature13591.html,letter,514,7523,23 October 2014,13591.html,Evolutionary genetics,Bacterial genetics,,,,,
Dendritic cells control fibroblastic reticular network tension and lymph node expansion,/nature/journal/v514/n7523/full/nature13814.html,letter,514,7523,23 October 2014,13814.html,Lymph node,Acute inflammation,Actin,Cellular imaging,,,
Diabetes recovery by age-dependent conversion of pancreatic  δ u-cells into insulin producers,/nature/journal/v514/n7523/full/nature13633.html,letter,514,7523,23 October 2014,13633.html,Transdifferentiation,Ageing,Diabetes,Regeneration,,,
High-fat-diet-mediated dysbiosis promotes intestinal carcinogenesis independently of obesity,/nature/journal/v514/n7523/full/nature13398.html,letter,514,7523,23 October 2014,13398.html,Cancer,,,,,,
Contrasting roles of histone 3 lysine 27 demethylases in acute lymphoblastic leukaemia,/nature/journal/v514/n7523/full/nature13605.html,letter,514,7523,23 October 2014,13605.html,Leukaemia,Histone post-translational modifications,,,,,
Structure and mechanism of Zn 2+ u-transporting P-type ATPases,/nature/journal/v514/n7523/full/nature13618.html,letter,514,7523,23 October 2014,13618.html,X-ray crystallography,,,,,,
Genome sequence of a 45000-year-old modern human from western Siberia,/nature/journal/v514/n7523/full/nature13810.html,article,514,7523,23 October 2014,13810.html,Evolutionary genetics,Biological anthropology,,,,,
Pulmonary macrophage transplantation therapy,/nature/journal/v514/n7523/full/nature13807.html,article,514,7523,23 October 2014,13807.html,Mechanisms of disease,,,,,,
Structure and immune recognition of trimeric pre-fusion HIV-1 Env,/nature/journal/v514/n7523/full/nature13808.html,article,514,7523,23 October 2014,13808.html,HIV infections,X-ray crystallography,Protein vaccines,Protein function predictions,,,
Inefficient star formation in extremely metal poor galaxies,/nature/journal/v514/n7522/full/nature13820.html,letter,514,7522,16 October 2014,13820.html,Galaxies and clusters,,,,,,
Binary orbits as the driver of  γ u-ray emission and mass ejection in classical novae,/nature/journal/v514/n7522/full/nature13773.html,letter,514,7522,16 October 2014,13773.html,High-energy astrophysics,Stars,,,,,
Giant Rydberg excitons in the copper oxide Cu 2 uO,/nature/journal/v514/n7522/full/nature13832.html,letter,514,7522,16 October 2014,13832.html,Atomic and molecular physics,Semiconductors,,,,,
Lithium antimony lead liquid metal battery for grid-level energy storage,/nature/journal/v514/n7522/full/nature13700.html,letter,514,7522,16 October 2014,13700.html,Batteries,Batteries,Chemical engineering,,,,
High winter ozone pollution from carbonyl photolysis in an oil and gas basin,/nature/journal/v514/n7522/full/nature13767.html,letter,514,7522,16 October 2014,13767.html,Environmental sciences,Atmospheric chemistry,,,,,
Helium and lead isotopes reveal the geochemical geometry of the Samoan plume,/nature/journal/v514/n7522/full/nature13794.html,letter,514,7522,16 October 2014,13794.html,Geochemistry,Geodynamics,Volcanology,,,,
Site-specific group selection drives locally adapted group compositions,/nature/journal/v514/n7522/full/nature13811.html,letter,514,7522,16 October 2014,13811.html,Social evolution,Behavioural ecology,Population dynamics,Animal behaviour,,,
Hallucigenia us onychophoran-like claws and the case for Tactopoda,/nature/journal/v514/n7522/full/nature13576.html,letter,514,7522,16 October 2014,13576.html,Palaeontology,Systematics,Evolutionary developmental biology,Phylogenetics,,,
OSCA1 mediates osmotic-stress-evoked Ca 2+ u increases vital for osmosensing in  Arabidopsis,/nature/journal/v514/n7522/full/nature13593.html,letter,514,7522,16 October 2014,13593.html,Plant signalling,Plant development,Ion channel signalling,Calcium signalling,,,
Antiviral immunity via RIG-I-mediated recognition of RNA bearing 5-diphosphates,/nature/journal/v514/n7522/full/nature13590.html,letter,514,7522,16 October 2014,13590.html,RIG-I-like receptors,,,,,,
Stochasticity of metabolism and growth at the single-cell level,/nature/journal/v514/n7522/full/nature13582.html,letter,514,7522,16 October 2014,13582.html,Biophysics,Bacterial systems biology,,,,,
CRISPR-mediated direct mutation of cancer genes in the mouse liver,/nature/journal/v514/n7522/full/nature13589.html,letter,514,7522,16 October 2014,13589.html,Cancer models,,,,,,
Rb suppresses human cone-precursor-derived retinoblastoma tumours,/nature/journal/v514/n7522/full/nature13813.html,letter,514,7522,16 October 2014,13813.html,Eye cancer,Oncogenes,Cell growth,Embryology,,,
Noncoding RNA transcription targets AID to divergently transcribed loci in B cells,/nature/journal/v514/n7522/full/nature13580.html,letter,514,7522,16 October 2014,13580.html,B cells,Non-coding RNAs,Transcription,,,,
The genetics of monarch butterfly migration and warning colouration,/nature/journal/v514/n7522/full/nature13812.html,article,514,7522,16 October 2014,13812.html,Population genetics,Evolutionary genetics,Animal migration,,,,
Clonal dynamics of native haematopoiesis,/nature/journal/v514/n7522/full/nature13824.html,article,514,7522,16 October 2014,13824.html,Haematopoietic stem cells,Myelopoiesis,,,,,
Structural mechanism of glutamate receptor activation and desensitization,/nature/journal/v514/n7522/full/nature13603.html,article,514,7522,16 October 2014,13603.html,Electron microscopy,Ion channels in the nervous system,,,,,
A mass of less than 15 solar masses for the black hole in an ultraluminous X-ray source,/nature/journal/v514/n7521/full/nature13730.html,letter,514,7521,9 October 2014,13730.html,High-energy astrophysics,,,,,,
An ultraluminous X-ray source powered by an accreting neutron star,/nature/journal/v514/n7521/full/nature13791.html,letter,514,7521,9 October 2014,13791.html,High-energy astrophysics,,,,,,
Large non-saturating magnetoresistance in WTe 2,/nature/journal/v514/n7521/full/nature13763.html,letter,514,7521,9 October 2014,13763.html,Magnetic properties and materials,Magnetic properties and materials,Electronic materials,,,,
Vibrational spectroscopy in the electron microscope,/nature/journal/v514/n7521/full/nature13870.html,letter,514,7521,9 October 2014,13870.html,Characterization and analytical techniques,Transmission electron microscopy,Materials chemistry,,,,
Global covariation of carbon turnover times with climate in terrestrial ecosystems,/nature/journal/v514/n7521/full/nature13731.html,letter,514,7521,9 October 2014,13731.html,Biogeochemistry,Biogeochemistry,,,,,
High secondary aerosol contribution to particulate pollution during haze events in China,/nature/journal/v514/n7521/full/nature13774.html,letter,514,7521,9 October 2014,13774.html,Atmospheric chemistry,,,,,,
Pleistocene cave art from Sulawesi Indonesia,/nature/journal/v514/n7521/full/nature13422.html,letter,514,7521,9 October 2014,13422.html,Archaeology,,,,,,
Inappropriate p53 activation during development induces features of CHARGE syndrome,/nature/journal/v514/n7521/full/nature13585.html,letter,514,7521,9 October 2014,13585.html,Embryology,Tumour suppressors,Cancer genetics,,,,
Protein competition switches the function of COP9 from self-renewal to differentiation,/nature/journal/v514/n7521/full/nature13562.html,letter,514,7521,9 October 2014,13562.html,Self-renewal,,,,,,
Interleukin-22 alleviates metabolic disorders and restores mucosal immunity in diabetes,/nature/journal/v514/n7521/full/nature13564.html,letter,514,7521,9 October 2014,13564.html,Mucosal immunology,,,,,,
HSP70 sequestration by free  α u-globin promotes ineffective erythropoiesis in \u03b2-thalassaemia,/nature/journal/v514/n7521/full/nature13614.html,letter,514,7521,9 October 2014,13614.html,Anaemia,,,,,,
PRC2 loss amplifies Ras-driven transcription and confers sensitivity to BRD4-based therapies,/nature/journal/v514/n7521/full/nature13561.html,letter,514,7521,9 October 2014,13561.html,Tumour suppressors,Cancer models,Targeted therapies,,,,
Mechanism of Dis3l2 substrate recognition in the Lin28 let-7 pathway,/nature/journal/v514/n7521/full/nature13553.html,letter,514,7521,9 October 2014,13553.html,X-ray crystallography,RNA decay,Embryonic stem cells,RNAi,,,
Required enhancer matrin-3 network interactions for a homeodomain transcription program,/nature/journal/v514/n7521/full/nature13573.html,letter,514,7521,9 October 2014,13573.html,Transcriptional regulatory elements,Nuclear organization,,,,,
Artificial sweeteners induce glucose intolerance by altering the gut microbiota,/nature/journal/v514/n7521/full/nature13793.html,article,514,7521,9 October 2014,13793.html,Type 2 diabetes mellitus,Microbiome,Metabolic syndrome,Metagenomics,,,
Inflammatory caspases are innate immune receptors for intracellular LPS,/nature/journal/v514/n7521/full/nature13683.html,article,514,7521,9 October 2014,13683.html,Innate immunity,Inflammation,Bacterial infection,Immune cell death,,,
Crystal structure of a eukaryotic group II intron lariat,/nature/journal/v514/n7521/full/nature13790.html,article,514,7521,9 October 2014,13790.html,X-ray crystallography,Ribozymes,RNA,RNA splicing,,,
HCN ice in Titans high-altitude southern polar cloud,/nature/journal/v514/n7520/full/nature13789.html,letter,514,7520,2 October 2014,13789.html,Atmospheric chemistry,Atmospheric dynamics,,,,,
Structure and evolution of the lunar Procellarum region as revealed by GRAIL gravity data,/nature/journal/v514/n7520/full/nature13697.html,letter,514,7520,2 October 2014,13697.html,Inner planets,Geodynamics,Rings and moons,,,,
Experimental realization of universal geometric quantum gates with solid-state spins,/nature/journal/v514/n7520/full/nature13729.html,letter,514,7520,2 October 2014,13729.html,Quantum information,,,,,,
Evanescent-wave and ambient chiral sensing by signal-reversing cavity ringdown polarimetry,/nature/journal/v514/n7520/full/nature13680.html,letter,514,7520,2 October 2014,13680.html,Chemical physics,Optical physics,Circular dichroism,,,,
Direct observations of evolving subglacial drainage beneath the Greenland Ice Sheet,/nature/journal/v514/n7520/full/nature13796.html,letter,514,7520,2 October 2014,13796.html,Cryospheric science,Hydrology,,,,,
Prevalence of viscoelastic relaxation after the 2011 Tohoku-oki earthquake,/nature/journal/v514/n7520/full/nature13778.html,letter,514,7520,2 October 2014,13778.html,Geodynamics,Seismology,Tectonics,Geophysics,,,
Molecular basis of adaptation to high soil boron in wheat landraces and elite cultivars,/nature/journal/v514/n7520/full/nature13538.html,letter,514,7520,2 October 2014,13538.html,Plant breeding,,,,,,
Parent-of-origin-specific allelic associations among 106 genomic loci for age at menarche,/nature/journal/v514/n7520/full/nature13545.html,letter,514,7520,2 October 2014,13545.html,,,,,,,
The neurotrophic factor receptor RET drives haematopoietic stem cell survival and function,/nature/journal/v514/n7520/full/nature13498.html,letter,514,7520,2 October 2014,13498.html,Haematopoietic stem cells,,,,,,
A long noncoding RNA protects the heart from pathological hypertrophy,/nature/journal/v514/n7520/full/nature13596.html,letter,514,7520,2 October 2014,13596.html,Epigenetics,Long non-coding RNAs,Cardiovascular diseases,,,,
DNA-damage-induced differentiation of leukaemic cells as an anti-cancer barrier,/nature/journal/v514/n7520/full/nature13483.html,letter,514,7520,2 October 2014,13483.html,Acute myeloid leukaemia,,,,,,
Endothelial-cell FAK targeting sensitizes tumours to DNA-damaging therapy,/nature/journal/v514/n7520/full/nature13541.html,letter,514,7520,2 October 2014,13541.html,Cancer microenvironment,,,,,,
Promoter sequences direct cytoplasmic localization and translation of mRNAs during starvation in yeast,/nature/journal/v514/n7520/full/nature13578.html,letter,514,7520,2 October 2014,13578.html,RNA metabolism,Translation,,,,,
Sae2 promotes dsDNA endonuclease activity within Mre11 Rad50 Xrs2 to resect DNA breaks,/nature/journal/v514/n7520/full/nature13771.html,letter,514,7520,2 October 2014,13771.html,DNA,Homologous recombination,DNA recombination,,,,
Reversion of advanced Ebola virus disease in nonhuman primates with ZMapp,/nature/journal/v514/n7520/full/nature13777.html,article,514,7520,2 October 2014,13777.html,Antiviral agents,Immunotherapy,Ebola virus,,,,
Non-cell-autonomous driving of tumour growth supports sub-clonal heterogeneity,/nature/journal/v514/n7520/full/nature13556.html,article,514,7520,2 October 2014,13556.html,Tumour heterogeneity,,,,,,
Biogeography and individuality shape function in the human skin metagenome,/nature/journal/v514/n7520/full/nature13786.html,article,514,7520,2 October 2014,13786.html,Microbial genetics,Metagenomics,,,,,
Early turbulent mixing as the origin of chemical homogeneity in open star clusters,/nature/journal/v513/n7519/full/nature13662.html,letter,513,7519,25 September 2014,13662.html,Interstellar medium,Stars,,,,,
Water vapour absorption in the clear atmosphere of a Neptune-sized exoplanet,/nature/journal/v513/n7519/full/nature13785.html,letter,513,7519,25 September 2014,13785.html,Atmospheric chemistry,Exoplanets,,,,,
Placing an upper limit on cryptic marine sulphur cycling,/nature/journal/v513/n7519/full/nature13698.html,letter,513,7519,25 September 2014,13698.html,Biogeochemistry,,,,,,
Flow in bedrock canyons,/nature/journal/v513/n7519/full/nature13779.html,letter,513,7519,25 September 2014,13779.html,Geomorphology,,,,,,
Brain structure resolves the segmental affinity of anomalocaridid appendages,/nature/journal/v513/n7519/full/nature13486.html,letter,513,7519,25 September 2014,13486.html,Palaeontology,,,,,,
Island biogeography of the Anthropocene,/nature/journal/v513/n7519/full/nature13739.html,letter,513,7519,25 September 2014,13739.html,Biogeography,Herpetology,Biodiversity,Speciation,,,
A faster Rubisco with potential to increase photosynthesis in crops,/nature/journal/v513/n7519/full/nature13776.html,letter,513,7519,25 September 2014,13776.html,Rubisco,Molecular engineering in plants,Transgenic plants,,,,
